Batch Size,Hidden Size,Dropout Rate,Learning Rate,Weight Decay,Optimizer,Scheduler,Test Accuracy,Test Loss
64,256,0.1,0.01,0.0001,Adam,ReduceLROnPlateau,0.3642,1.7807551929473877
64,256,0.1,0.01,0.0005,Adam,ReduceLROnPlateau,0.3498,1.7018449338912964
64,256,0.1,0.01,0.001,Adam,ReduceLROnPlateau,0.3791,1.6884664270401002
64,256,0.1,0.005,0.0001,Adam,ReduceLROnPlateau,0.4414,1.5823736589431763
64,256,0.1,0.005,0.0005,Adam,ReduceLROnPlateau,0.3937,1.6971703378677367
64,256,0.1,0.005,0.001,Adam,ReduceLROnPlateau,0.4355,1.6049401058197021
64,256,0.1,0.001,0.0001,Adam,ReduceLROnPlateau,0.4198,1.6213265773773193
64,256,0.1,0.001,0.0005,Adam,ReduceLROnPlateau,0.3816,1.648223456954956
64,256,0.1,0.001,0.001,Adam,ReduceLROnPlateau,0.4007,1.6613160274505616
64,256,0.3,0.01,0.0001,Adam,ReduceLROnPlateau,0.3806,1.710737753868103
64,256,0.3,0.01,0.0005,Adam,ReduceLROnPlateau,0.375,1.7334744022369384
64,256,0.3,0.01,0.001,Adam,ReduceLROnPlateau,0.3553,1.7193527404785156
64,256,0.3,0.005,0.0001,Adam,ReduceLROnPlateau,0.4234,1.634474573135376
64,256,0.3,0.005,0.0005,Adam,ReduceLROnPlateau,0.4561,1.5505025207519532
64,256,0.3,0.005,0.001,Adam,ReduceLROnPlateau,0.4422,1.573070326423645
64,256,0.3,0.001,0.0001,Adam,ReduceLROnPlateau,0.417,1.6333496828079224
64,256,0.3,0.001,0.0005,Adam,ReduceLROnPlateau,0.3983,1.6383902614593506
64,256,0.3,0.001,0.001,Adam,ReduceLROnPlateau,0.4729,1.5016209852218627
64,256,0.5,0.01,0.0001,Adam,ReduceLROnPlateau,0.3928,1.7136236959457398
64,256,0.5,0.01,0.0005,Adam,ReduceLROnPlateau,0.392,1.7101366306304933
64,256,0.5,0.01,0.001,Adam,ReduceLROnPlateau,0.3579,1.731560546875
64,256,0.5,0.005,0.0001,Adam,ReduceLROnPlateau,0.3872,1.7307761762619018
64,256,0.5,0.005,0.0005,Adam,ReduceLROnPlateau,0.4276,1.598254780960083
64,256,0.5,0.005,0.001,Adam,ReduceLROnPlateau,0.4306,1.6054879077911377
64,256,0.5,0.001,0.0001,Adam,ReduceLROnPlateau,0.4146,1.6453013620376586
64,256,0.5,0.001,0.0005,Adam,ReduceLROnPlateau,0.4031,1.6525351091384888
64,256,0.5,0.001,0.001,Adam,ReduceLROnPlateau,0.4664,1.520373034286499
64,512,0.1,0.01,0.0001,Adam,ReduceLROnPlateau,0.3861,1.7095356803894044
64,512,0.1,0.01,0.0005,Adam,ReduceLROnPlateau,0.3615,1.7314458168029785
64,512,0.1,0.01,0.001,Adam,ReduceLROnPlateau,0.3963,1.7040710918426514
64,512,0.1,0.005,0.0001,Adam,ReduceLROnPlateau,0.4574,1.53452979221344
64,512,0.1,0.005,0.0005,Adam,ReduceLROnPlateau,0.45,1.5474482656478883
64,512,0.1,0.005,0.001,Adam,ReduceLROnPlateau,0.4628,1.5226611297607422
64,512,0.1,0.001,0.0001,Adam,ReduceLROnPlateau,0.3974,1.6569332147598266
64,512,0.1,0.001,0.0005,Adam,ReduceLROnPlateau,0.4094,1.623854249572754
64,512,0.1,0.001,0.001,Adam,ReduceLROnPlateau,0.4416,1.5710842248916626
64,512,0.3,0.01,0.0001,Adam,ReduceLROnPlateau,0.3754,1.7410445779800414
64,512,0.3,0.01,0.0005,Adam,ReduceLROnPlateau,0.3796,1.7046666633605958
64,512,0.3,0.01,0.001,Adam,ReduceLROnPlateau,0.3789,1.665883744430542
64,512,0.3,0.005,0.0001,Adam,ReduceLROnPlateau,0.426,1.613518710899353
64,512,0.3,0.005,0.0005,Adam,ReduceLROnPlateau,0.4501,1.5590513799667358
64,512,0.3,0.005,0.001,Adam,ReduceLROnPlateau,0.4466,1.5564902824401856
64,512,0.3,0.001,0.0001,Adam,ReduceLROnPlateau,0.4175,1.6486910148620606
64,512,0.3,0.001,0.0005,Adam,ReduceLROnPlateau,0.3878,1.6347820919036866
64,512,0.3,0.001,0.001,Adam,ReduceLROnPlateau,0.4025,1.6587124773025512
64,512,0.5,0.01,0.0001,Adam,ReduceLROnPlateau,0.3028,1.9284847312927247
64,512,0.5,0.01,0.0005,Adam,ReduceLROnPlateau,0.3562,1.6986615041732789
64,512,0.5,0.01,0.001,Adam,ReduceLROnPlateau,0.3886,1.7018122629165648
64,512,0.5,0.005,0.0001,Adam,ReduceLROnPlateau,0.4009,1.6965316474914551
64,512,0.5,0.005,0.0005,Adam,ReduceLROnPlateau,0.4355,1.5594984184265137
64,512,0.5,0.005,0.001,Adam,ReduceLROnPlateau,0.4171,1.5942699508666993
